date,recon,login,exploit,botnet
2018-03-24,0.441932,0.516087,0.933523,0.830259
2018-03-25,0.450571,0.516883,0.93386,0.791138
2018-03-26,0.461259,0.512442,0.931666,0.751505
2018-03-27,0.475151,0.499756,0.928207,0.710419
2018-03-28,0.493106,0.482927,0.926028,0.667954
2018-03-29,0.5114,0.463938,0.928405,0.628027
2018-03-30,0.531488,0.445622,0.931471,0.621644
2018-03-31,0.552606,0.42777,0.935143,0.615781
2018-04-01,0.569722,0.41498,0.937891,0.60945
2018-04-02,0.583881,0.412882,0.940945,0.605954
2018-04-03,0.591095,0.417902,0.943739,0.60248
2018-04-04,0.588597,0.422567,0.943538,0.602199
2018-04-05,0.575278,0.419892,0.935792,0.600567
2018-04-06,0.549067,0.409342,0.926138,0.599646
2018-04-07,0.506297,0.393434,0.910514,0.599233
2018-04-08,0.446338,0.362319,0.891714,0.597323
2018-04-09,0.369209,0.313742,0.86819,0.589067
2018-04-10,0.282394,0.253412,0.841632,0.579209
2018-04-11,0.197152,0.190863,0.815005,0.563932
2018-04-12,0.129262,0.139567,0.796017,0.549637
2018-04-13,0.0909,0.109692,0.781761,0.539124
2018-04-14,0.092499,0.109158,0.78381,0.533626
2018-04-15,0.134612,0.148397,0.796663,0.535525
2018-04-16,0.208751,0.213921,0.81704,0.549031
2018-04-17,0.293224,0.284258,0.837789,0.5657
2018-04-18,0.371922,0.347087,0.856366,0.584041
2018-04-19,0.435146,0.399661,0.871719,0.607178
2018-04-20,0.483784,0.442529,0.883314,0.645598
2018-04-21,0.520455,0.472541,0.889115,0.680396
2018-04-22,0.548427,0.489686,0.890459,0.711128
2018-04-23,0.566493,0.49593,0.888894,0.738837
2018-04-24,0.578266,0.493382,0.884404,0.764349
2018-04-25,0.588759,0.486687,0.878363,0.789226
2018-04-26,0.60243,0.480749,0.871828,0.809221
2018-04-27,0.619195,0.47326,0.866517,0.814654
2018-04-28,0.636214,0.468005,0.863823,0.81542
2018-04-29,0.651448,0.466319,0.86483,0.812859
2018-04-30,0.665654,0.46885,0.866191,0.807136
2018-05-01,0.679728,0.478537,0.869987,0.799132
2018-05-02,0.689521,0.490323,0.874593,0.79013
2018-05-03,0.693313,0.499659,0.880343,0.783189
2018-05-04,0.691211,0.507612,0.886985,0.791179
2018-05-05,0.688919,0.516579,0.893698,0.803087
2018-05-06,0.686822,0.524652,0.89667,0.817569
2018-05-07,0.686441,0.530641,0.899225,0.833045
2018-05-08,0.687323,0.535813,0.900965,0.848361
2018-05-09,0.695327,0.544054,0.902391,0.860948
2018-05-10,0.710052,0.554299,0.902328,0.870489
2018-05-11,0.730828,0.564557,0.898433,0.871603
2018-05-12,0.750742,0.571753,0.893422,0.871496
2018-05-13,0.768515,0.577591,0.891328,0.870079
2018-05-14,0.783643,0.584732,0.890295,0.868888
2018-05-15,0.796294,0.5868,0.891206,0.867911
2018-05-16,0.803561,0.58105,0.892097,0.867177
2018-05-17,0.806495,0.570199,0.894393,0.867154
2018-05-18,0.804601,0.557913,0.899515,0.870809
2018-05-19,0.799108,0.543184,0.904446,0.874565
2018-05-20,0.790755,0.525688,0.909338,0.879902
2018-05-21,0.779654,0.50237,0.916158,0.884105
2018-05-22,0.765063,0.477952,0.923056,0.888656
2018-05-23,0.748079,0.455217,0.934131,0.892162
2018-05-24,0.729467,0.434535,0.946667,0.894897
2018-05-25,0.709008,0.413518,0.957994,0.89512
2018-05-26,0.689752,0.392911,0.966882,0.893156
2018-05-27,0.671971,0.374445,0.970966,0.886067
2018-05-28,0.656865,0.362885,0.970966,0.874447
2018-05-29,0.647241,0.360946,0.969216,0.856569
2018-05-30,0.644124,0.371182,0.96216,0.838056
2018-05-31,0.646288,0.38668,0.952403,0.818758
2018-06-01,0.655808,0.409271,0.943832,0.803125
2018-06-02,0.670661,0.440968,0.938255,0.793887
2018-06-03,0.690427,0.478688,0.940659,0.795828
2018-06-04,0.71115,0.513674,0.947294,0.80862
2018-06-05,0.729669,0.544148,0.951435,0.82656
2018-06-06,0.743639,0.566346,0.955555,0.840942
2018-06-07,0.752406,0.584997,0.95609,0.851046
2018-06-08,0.755629,0.597912,0.952699,0.85828
2018-06-09,0.753467,0.604096,0.947991,0.860727
2018-06-10,0.748013,0.602649,0.936805,0.857133
2018-06-11,0.742131,0.597083,0.920433,0.850565
2018-06-12,0.738623,0.586555,0.905058,0.840445
2018-06-13,0.740089,0.572012,0.89062,0.829784
2018-06-14,0.749578,0.553495,0.878995,0.863862
2018-06-15,0.766485,0.534412,0.867737,0.892833
2018-06-16,0.790057,0.515443,0.853786,0.918594
2018-06-17,0.81688,0.500168,0.841589,0.943309
2018-06-18,0.844073,0.487749,0.830219,0.963065
2018-06-19,0.868197,0.481358,0.815625,0.982128
2018-06-20,0.887195,0.491407,0.796234,1.0
2018-06-21,0.900867,0.516326,0.773347,0.983993
2018-06-22,0.911513,0.547821,0.75429,0.966279
2018-06-23,0.9202,0.586573,0.740458,0.947005
2018-06-24,0.928118,0.627313,0.729145,0.923518
2018-06-25,0.937475,0.667721,0.722676,0.898335
2018-06-26,0.948186,0.702918,0.722704,0.866493
2018-06-27,0.960557,0.723893,0.728751,0.83224
2018-06-28,0.972475,0.730619,0.739445,0.837854
2018-06-29,0.978867,0.727376,0.745024,0.8421
